"","litter_id","year","grid","squirrel_id","ln","part_date","part_source"
"1",1,2013,"AG",11059,1,67,"trap"
"2",2,2013,"AG",11926,1,74,"weight"
"3",3,2013,"AG",10613,1,81,"trap"
"4",4,2013,"AG",13215,1,84,"weight"
"5",5,2013,"AG",11101,1,83,"trap"
"6",6,2013,"AG",12605,1,85,"trap"
"7",7,2013,"AG",11738,1,88,"trap"
"8",8,2013,"AG",11921,1,89,"weight"
"9",9,2013,"AG",11686,1,88,"weight"
"10",10,2013,"AG",12558,1,90,"trap"
"11",11,2013,"AG",10270,1,90,"trap"
"12",12,2013,"AG",11817,1,86,"weight"
"13",13,2013,"JO",11375,1,95,"trap"
"14",14,2013,"JO",12318,1,95,"trap"
"15",15,2013,"AG",11737,1,95,"trap"
"16",16,2013,"AG",12607,1,92,"trap"
"17",17,2013,"AG",12476,1,92,"trap"
"18",18,2013,"AG",11711,1,95,"trap"
"19",19,2013,"AG",12554,1,98,"trap"
"20",20,2013,"JO",12700,1,98,"trap"
"21",21,2013,"AG",12647,1,98,"trap"
"22",22,2013,"AG",12731,1,99,"trap"
"23",23,2013,"AG",12722,1,97,"weight"
"24",24,2013,"AG",11118,1,102,"trap"
"25",25,2013,"AG",11685,1,102,"trap"
"26",26,2013,"AG",12074,1,101,"weight"
"27",27,2013,"AG",12770,1,100,"weight"
"28",28,2013,"AG",12928,1,100,"weight"
"29",29,2013,"AG",12604,1,102,"trap"
"30",30,2013,"AG",10895,1,104,"trap"
"31",31,2013,"AG",12082,1,94,"weight"
"32",32,2013,"AG",12183,1,101,"trap"
"33",33,2013,"AG",12586,1,103,"weight"
"34",34,2013,"JO",10422,1,104,"trap"
"35",35,2013,"JO",11049,1,104,"weight"
"36",36,2013,"JO",11726,1,102,"trap"
"37",37,2013,"JO",11720,1,105,"trap"
"38",38,2013,"JO",11965,1,97,"weight"
"39",39,2013,"JO",10321,1,105,"trap"
"40",40,2013,"JO",12357,1,104,"trap"
"41",41,2013,"JO",12528,1,103,"weight"
"42",42,2013,"AG",13023,1,107,"weight"
"43",43,2013,"SU",10654,1,106,"weight"
"44",44,2013,"AG",13257,1,104,"trap"
"45",45,2013,"SU",12180,1,108,"trap"
"46",46,2013,"JO",11794,1,107,"weight"
"47",47,2013,"AG",11934,1,93,"weight"
"48",48,2013,"JO",13425,1,107,"trap"
"49",49,2013,"JO",11875,1,108,"weight"
"50",50,2013,"KL",11897,1,107,"trap"
"51",51,2013,"JO",11527,1,108,"weight"
"52",52,2013,"JO",10233,1,108,"weight"
"53",53,2013,"KL",11619,1,108,"weight"
"54",54,2013,"AG",10650,1,107,"weight"
"55",55,2013,"AG",19246,1,108,"weight"
"56",56,2013,"JO",10526,1,108,"weight"
"57",57,2013,"AG",12535,1,107,"trap"
"58",58,2013,"AG",12606,1,110,"weight"
"59",59,2013,"SU",12462,1,111,"trap"
"60",60,2013,"JO",11678,1,111,"weight"
"61",61,2013,"JO",12846,1,112,"trap"
"62",62,2013,"AG",12095,1,109,"trap"
"63",63,2013,"AG",13659,1,109,"weight"
"64",64,2013,"SU",11943,1,110,"weight"
"65",65,2013,"SU",10918,1,111,"trap"
"66",66,2013,"KL",10046,1,113,"weight"
