Poop Vial ID,Field Poop Vial ID,Duplicate Sample?,Poop Time,FCM Analyzed?,FAM Analyzed?,Sample extracted if Two Samples,Extra Fecal Sample?,MeOH extraction volume (uL),EIA Lab,EIA done by,Date Cort EIA,Date Androgen EIA,Cort Dilution,Androgen Dilution,Cort Volume used,Androgen Volume Used,Cort Concentration,Cort CV,Cort Repeat?,Date Cort repeated,Cort Repeat Dilution,Cort Repeat Volume Used,Repeat Cort Concentration,Repeat Cort CV,Cort Final Concentration,Androgen Final Concentration,Androgen CV,Cort EIA Plate ID Run 1,Cort EIA Plate ID Repeat,Androgen EIA Plate ID,Cort High CV?,Androgen High CV?,BJD Repeated for Cort,,,,,,,,,,,,,,,,,,
P0039 ,,Y,,Yes,Yes,,double in cort data,1000,Boonstra,BJD,31-May-11,,32.33333333,9,5.6,10,14.847,,,,,,,,14.847,14.812,0.2,C.2011.52,,T.2011.1,,,,,,,,,,,,,,,,,,,,,
P2210 ,,Y,,Yes,Yes,,double in cort data,1000,Boonstra,BJD,Previously analyzed,,32.33333333,9,,10,,,,,,,,,,5.264,,,,T.LTGrid.2008.15,,,,,,,,,,,,,,,,,,,,,
P0256,,,,Yes,Yes,,double in historic cort data,1000,Boonstra,BJD,31-Mar-09,,9,9,1.6,10,12.148,,,,,,,,12.148,1.557,,37e.LTGrid.2008.6,,T.HighCvs.Field1,,,,,,,,,,,,,,,,,,,,,
B3137,,Y,,Yes,,,Yes,1000,Boonstra,BJD,Previously analyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0030,,,,,,P0030,,1000,Boonstra,BJD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3139,,,,Yes,Yes,P3139,,1000,Boonstra,BJD,11-Apr-09,,9,9,1.6,10,23.442,,,,,,,,23.442,7.109,,C.LTGrid.2008.7,,T.LTGrid.2008.7,,,,,,,,,,,,,,,,,,,,,
P2324,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/12/11,32.33333333,9,5.6,10,17.737,10.1,Yes,5/15/11,68.66666667,10,6.064,0,17.737,8.253,14.5,C.2011.16,,T.2011.3,,,C.2011.2,,,,,,,,,,,,,,,,,,
P2337,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,,32.33333333,9,5.6,10,26.492,7.2,Yes,5/15/11,68.66666667,10,12.615,4.6,26.492,8.934,7.3,C.2011.16,,T.2011.3,,,C.2011.2,,,,,,,,,,,,,,,,,,
P1467 ,,,,Yes,Yes,,,1000,Boonstra,BJD,15-May-11,,32.33333333,9,10,10,35.775,8.1,Yes,6/1/11,32.33333333,5.6,34.598,11.8,35.1865,13.936,,C.2011.2,,T.LTGrid.2008.17,,,C.2011.56,,,,,,,,,,,,,,,,,,
12010,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/15/11,32.33333333,9,5.6,10,19.501,10,,,,,,,19.501,9.935,4,C.2011.53,,T.2011.13,,,Y,,,,,,,,,,,,,,,,,,
A0052,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/13/11,32.33333333,9,5.6,10,14.976,13.9,,,,,,,14.976,6.234,2.7,C.2011.17,,T.2011.7,,,Y,,,,,,,,,,,,,,,,,,
A0067,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/13/11,32.33333333,9,5.6,10,72.412,8.6,,,,,,,72.412,16.711,2.8,C.2011.17,,T.2011.7,,,Y,,,,,,,,,,,,,,,,,,
A0083,,,1236,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/13/11,32.33333333,9,5.6,10,12.728,4.1,,,,,,,12.728,2.225,0,C.2011.20,,T.2011.8,,,Y,,,,,,,,,,,,,,,,,,
A0111,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/19/11,32.33333333,9,5.6,10,18.656,0.4,,,,,,,18.656,7.403,9.8,C.2011.53,,T.2011.22,,,Y,,,,,,,,,,,,,,,,,,
A0120,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/16/11,32.33333333,9,5.6,10,35.751,7,,,,,,,35.751,12.193,6.6,C.2011.30,,T.2011.16,,,Y,,,,,,,,,,,,,,,,,,
A0131,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/13/11,32.33333333,9,5.6,10,40.322,,,,,,,,40.322,8.242,3.4,C.2011.17,,T.2011.7,,,Y,,,,,,,,,,,,,,,,,,
A0142,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/14/11,32.33333333,9,5.6,10,9.717,19.1,,,,,,,9.717,7.074,1.7,C.2011.29,,T.2011.9,,,Y,,,,,,,,,,,,,,,,,,
A0145,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/13/11,32.33333333,9,5.6,10,35.334,9.2,,,,,,,35.334,12.003,5,C.2011.29,,T.2011.8,,,Y,,,,,,,,,,,,,,,,,,
A0252,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/21/11,32.33333333,9,5.6,10,9.782,8.2,,,,,,,9.782,44.456,12.7,C.2011.54,,T.2011.32,,,Y,,,,,,,,,,,,,,,,,,
A0258,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/13/11,32.33333333,9,5.6,10,91.299,3.7,,,,,,,91.299,16.042,13.9,C.2011.29,,T.2011.8,,,Y,,,,,,,,,,,,,,,,,,
A0324,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/13/11,32.33333333,9,5.6,10,19.525,,,,,,,,19.525,11.086,1.1,C.2011.29,,T.2011.8,,,Y,,,,,,,,,,,,,,,,,,
A0393,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/19/11,32.33333333,9,5.6,10,28.159,1.3,,,,,,,28.159,7.577,2.2,C.2011.54,,T.2011.23,,,Y,,,,,,,,,,,,,,,,,,
A0464,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/13/11,32.33333333,9,5.6,10,68.628,17.2,,,,,,,68.628,11.486,6.6,C.2011.17,,T.2011.7,,,Y,,,,,,,,,,,,,,,,,,
A0497,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/16/11,32.33333333,9,5.6,10,68.068,12.2,,,,,,,68.068,21.474,15.5,C.2011.29,,T.2011.16,,,Y,,,,,,,,,,,,,,,,,,
A0508,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/18/11,32.33333333,9,5.6,10,20.977,3,,,,,,,20.977,16.246,17.9,C.2011.53,,T.2011.20,,,Y,,,,,,,,,,,,,,,,,,
A0521,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/13/11,32.33333333,9,5.6,10,14.068,14.9,,,,,,,14.068,30.766,0,C.2011.23,,T.2011.5,,,Y,,,,,,,,,,,,,,,,,,
A0542,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/13/11,32.33333333,9,5.6,10,15.927,11.1,,,,,,,15.927,3.486,15,C.2011.16,,T.2011.5,,,Y,,,,,,,,,,,,,,,,,,
A0545,,,,Yes,Yes,,,1000,Boonstra,BJD,27-May-11,5/17/11,32.33333333,9,5.6,10,29.965,5.1,,,,,,,29.965,8.332,0.8,C.2011.30,,T.2011.18,,,Y,,,,,,,,,,,,,,,,,,
A0589,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/13/11,32.33333333,9,5.6,10,74.744,1.3,,,,,,,74.744,22.98,9.8,C.2011.16,,T.2011.5,,,Y,,,,,,,,,,,,,,,,,,
A0596,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/14/11,32.33333333,9,5.6,10,36.718,24,Yes,5/27/11,32.33333333,5.6,42.337,8.4,37.33516667,13.463,10.9,C.2011.29,,T.2011.9,,,Y,,,,,,,,,,,,,,,,,,
A0617,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/13/11,32.33333333,9,5.6,10,26.361,5.4,,,,,,,26.361,12.446,2.4,C.2011.17,,T.2011.7,,,Y,,,,,,,,,,,,,,,,,,
A0619,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/12/11,32.33333333,9,5.6,10,74.279,5.5,,,,,,,74.279,30.269,0,C.2011.16,,T.2011.4,,,Y,,,,,,,,,,,,,,,,,,
A0635,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/13/11,32.33333333,9,5.6,10,112.574,14,Yes,5/27/11,32.33333333,5.6,15.123,0.6,63.8485,7.613,1.8,C.2011.29,,T.2011.8,,,Y,,,,,,,,,,,,,,,,,,
A0661,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/12/11,32.33333333,9,5.6,10,17.107,18.1,,,,,,,17.107,9.55,7.9,C.2011.16,,T.2011.3,,,Y,,,,,,,,,,,,,,,,,,
A0662,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/13/11,32.33333333,9,5.6,10,2.369,10.5,,,,,,,2.369,4.437,0.2,C.2011.16,,T.2011.5,,,Y,,,,,,,,,,,,,,,,,,
A0666,,,,Yes,Yes,,,1000,Boonstra,BJD,23-May-11,5/13/11,32.33333333,9,5.6,10,27.022,29.1,Yes,5/26/11,32.33333333,5.6,24.122,,25.572,15.813,0,C.2011.17,,T.2011.7,Y,,Y,,,,,,,,,,,,,,,,,,
A0670,,,,Yes,Yes,,,1000,Boonstra,BJD,23-May-11,5/15/11,32.33333333,9,5.6,10,51.237,75.6,,5/26/11,32.33333333,5.6,55.753,,53.495,15.019,11.9,C.2011.17,,T.2011.13,,,Y,,,,,,,,,,,,,,,,,,
A0725,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/13/11,32.33333333,9,5.6,10,174.887,,,,,,,,174.887,30.085,10.6,C.2011.16,,T.2011.5,,,Y,,,,,,,,,,,,,,,,,,
A0728,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/12/11,32.33333333,9,5.6,10,21.468,0.1,,,,,,,21.468,9.854,2.9,C.2011.16,,T.2011.3,,,Y,,,,,,,,,,,,,,,,,,
A0741,,,,Yes,Yes,,,1000,Boonstra,BJD,22-May-11,5/13/11,32.33333333,9,5.6,10,17.512,26.5,Yes,5/24/11,32.33333333,5.6,22.95,,20.231,14.914,9.6,C.2011.16,,T.2011.5,,,Y,,,,,,,,,,,,,,,,,,
A0811,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/13/11,32.33333333,9,5.6,10,6.296,125.6,,,,,,,6.296,6.784,2.3,C.2011.20,,T.2011.8,,,Y,,,,,,,,,,,,,,,,,,
A0831,,,,Yes,Yes,,,1000,Boonstra,BJD,26-May-11,5/13/11,32.33333333,9,5.6,10,36.872,6,Yes,5/27/11,32.33333333,5.6,14.115,12.2,25.4935,10.839,5.2,C.2011.29,,T.2011.8,,,Y,,,,,,,,,,,,,,,,,,
A0840,,,,Yes,Yes,,,1000,Boonstra,BJD,22-May-11,5/12/11,32.33333333,9,5.6,10,8.974,29.7,Yes,,,,,,8.974,7.368,9.6,C.2011.7,,T.2011.3,Y,,Y,,,,,,,,,,,,,,,,,,
A0871,,,,Yes,Yes,,,1000,Boonstra,BJD,31-May-11,5/17/11,32.33333333,9,5.6,10,10.614,,,,,,,,10.614,6.268,8.5,C.2011.53,,T.2011.19,,,Y,,,,,,,,,,,,,,,,,,
A0881,,,,Yes,Yes,,,1000,Boonstra,BJD,24-May-11,5/13/11,32.33333333,9,5.6,10,5.589,1,,,,,,,5.589,14.658,2.7,C.2011.16,,T.2011.5,,,Y,,,,,,,,,,,,,,,,,,
