"","squirrel_id","trapping_id","year","vial_number","poop_id","poop_time","comments","part","food","br","ln","litter_id","wgt","trap_date","sex","nipple","grid","rep_con","trap_month","trap_day","masting","rel_part","rel_week","rep_status","duplicate_poop_row","different_rep_status"
"1",8249,78815,2008,1,"P0027",NA,"P0027","2008-03-23",0,1,1,3987,NA,"2008-03-03","F",3,"AG",NA,"Mar",63,"nonmast",-19,-2,"Pregnant",FALSE,FALSE
"2",10307,78819,2008,1,"P0114",NA,"P0114","2008-04-03",0,1,1,4030,NA,"2008-03-03","F",2,"AG",NA,"Mar",63,"nonmast",-30,-4,"Pregnant",FALSE,FALSE
"3",10346,78828,2008,1,"P0031",1645,"P0031 16:45","2008-03-29",1,1,1,4247,245,"2008-03-03","F",2,"LL",NA,"Mar",63,"nonmast",-25,-3,"Pregnant",FALSE,FALSE
"4",8593,78833,2008,1,"P0047",NA,"P0047","2008-04-12",0,1,1,4284,232,"2008-03-03","F",1,"SU",NA,"Mar",63,"nonmast",-39,-5,"Pre-estrus",FALSE,FALSE
"5",10112,78849,2008,1,"P0133",NA,"Feces P0133","2008-02-25",0,1,1,4015,276,"2008-03-05","F",NA,"AG",NA,"Mar",65,"nonmast",9,1,"Lactating",FALSE,FALSE
"6",10119,78850,2008,1,"P0022",NA,"Feces P0022","2008-03-20",0,1,1,4016,286,"2008-03-05","F",NA,"AG",NA,"Mar",65,"nonmast",-14,-2,"Pregnant",FALSE,FALSE
"7",10168,78851,2008,1,"P0024",NA,"Feces P0024","2008-03-25",0,1,1,4021,259,"2008-03-05","F",3,"AG",NA,"Mar",65,"nonmast",-19,-2,"Pregnant",FALSE,FALSE
"8",10353,78852,2008,1,"P0110",NA,"Feces P0110","2008-03-23",0,1,1,4034,255,"2008-03-05","F",NA,"AG",NA,"Mar",65,"nonmast",-17,-2,"Pregnant",FALSE,FALSE
"9",10399,78853,2008,1,"P0062",NA,"Feces P0062","2008-04-03",0,1,1,4037,209,"2008-03-05","F",2,"AG",NA,"Mar",65,"nonmast",-28,-4,"Pregnant",FALSE,FALSE
"10",13660,78857,2008,1,"P0053",NA,"Feces P0053; TAGR removed-infected","2008-04-06",0,1,1,4063,225,"2008-03-05","F",NA,"AG",NA,"Mar",65,"nonmast",-31,-4,"Pregnant",FALSE,FALSE
