squirrel_id,trapping_id,year,vial_number,poop_id,poop_time,comments
8277,78809,2008,1,P0090,1441,test 21.3 10.3 21.1 9.9;P0090 1441;ht
10176,78810,2008,1,P0019,153,ht 7;test 22.4 9.4 20.5 10.4;p0019 153
13682,78813,2008,1,P0116,,ht 0;test 23.7 10.6 24.3 11.4;P0116 17
8249,78815,2008,1,P0027,,P0027
8252,78816,2008,1,P0026,,P0026
10307,78819,2008,1,P0114,,P0114
10681,78820,2008,1,P0077,,P0077
7886,78824,2008,1,P0135,,ht 1;test 22.1 10.1 21.5 10.2;P0135 13
8574,78825,2008,1,P0074,,ht 1; test 22.4 10.2 21.2 10.8;P0074 1
10346,78828,2008,1,P0031,1645,P0031 16:45
8593,78833,2008,1,P0047,,P0047
7927,78845,2008,1,P0043,1225,"P0043, P0084 12:25"
8705,78846,2008,1,P0046,1204,P0046 12:04
7880,78847,2008,1,P0104,,Feces P0104
10112,78849,2008,1,P0133,,Feces P0133
10119,78850,2008,1,P0022,,Feces P0022
10168,78851,2008,1,P0024,,Feces P0024
10353,78852,2008,1,P0110,,Feces P0110
10399,78853,2008,1,P0062,,Feces P0062
13660,78857,2008,1,P0053,,Feces P0053; TAGR removed-infected
8572,78859,2008,1,P0030,,HT 8; P0030 P0076
8729,78860,2008,1,P0061,,HT 13; P0061;test 28.1 11.4 27.7 11.5
10137,78863,2008,1,P0069,,HT 1; P0069; P0129
8529,78872,2008,1,P0147,1230,P0147 12:30
8608,78873,2008,1,P0139,1308,P0139 13:08
8643,78874,2008,1,P0108,1328,P0108 13:28
8686,78875,2008,1,P0056,1300,P0056 13:00
10187,78876,2008,1,P0073,1253,P0073 12:53
10277,78877,2008,1,P0065,1200,"P0065, P0120 12:00; tagrt looks wrong"
10334,78879,2008,1,P0094,1446,P0094 14:46
10347,78880,2008,1,P0033,1350,P0033 13:50
10382,78881,2008,1,P0010,1200,P0010 12:00
10418,78882,2008,1,P0041,1342,P0041 13:42
7876,78883,2008,1,P0082,,Feces P0082
7921,78886,2008,1,P0075,,Feces P0075
8339,78887,2008,1,P0039,,Feces P0039
8735,78890,2008,1,P0099,1224,Feces P0099 12:24
10324,78894,2008,1,P0130,,Feces P0130
10399,78895,2008,1,P0075,,Feces P0075
10645,78898,2008,1,P0009,1231,Feces P0009 12:31
10745,78899,2008,1,P0023,1204,Feces P0023 12:04
13654,78901,2008,1,P0131,,Feces P0131; NOT OWNER
7886,78902,2008,1,P0058,,ht 0; test 20.3 9.4 21.4 10.0;P0058;FM
10136,78904,2008,1,P0038,1525,test 22.8 11.0 22.0 11.2;P0038 1525
10138,78905,2008,1,P0015,,ht 4;test 22.8 11.0 23.8 10.8;P0015 15
10212,78906,2008,1,P0021,,ht 17;test 23.8 10.8 23.6 10.4;P0021 1
10206,78909,2008,1,P0028,1220,P0028 12:20
10278,78910,2008,1,P0059,1110,P0059 11:10
10412,78911,2008,1,P0029,1227,P0029 12:27
13672,78914,2008,1,P0063,1152,P0063 11:52
10275,78915,2008,1,P0095,,ht 14;test 21.7 10.0 20.9 10.7;P0095 1
8445,78916,2008,1,P0072,1230,P0072 12:30
8521,78917,2008,1,P0051,1116,P0051 11:16
8647,78920,2008,1,P0070,1115,P0070 11:15
8685,78922,2008,1,P0112,1130,P0112 11:30
10070,78924,2008,1,P0048,1200,P0048 12:00
10586,78929,2008,1,P0016,1158,P0016 11:58
10659,78930,2008,1,P0040,1148,P0040 11:48
10699,78932,2008,1,P0096,1110,P0096 11:10
11510,78933,2008,1,P0126,1257,P0126 12:57
7903,78940,2008,1,P0040,1230,Feces P0040 12:30;
8726,78943,2008,1,P0073,1215,Feces P0073 12:15;
10270,78945,2008,1,P0017,1155,Feces P0017 11:55
11063,78950,2008,1,P0108,1210,Feces P0108 12:10
13653,78951,2008,1,P0043,1240,P0043 12:40
8296,78960,2008,1,P0122,142,P0122 1:42
8397,78961,2008,1,P0105,1240,P0105 12:40
10302,78964,2008,1,P0045,116,P0045 1:16
7921,78965,2008,1,P0240,210,Feces P0240 2:10
8082,78966,2008,1,P0255,130,Feces P0255 1:30;
8735,78967,2008,1,P0192,230,Feces P0192 2:30
10645,78969,2008,1,P0217,220,Feces P0217 2:20
10679,78970,2008,1,P0218,240,Feces P0218 2:40
7943,78972,2008,1,P0008,1238,P0008 12:38;L tag almost ripped
8590,78973,2008,1,P0103,1255,Feces P0103 12:55
8611,78974,2008,1,P0285,1250,P0285 12:50
8613,78975,2008,1,P0007,1205,Feces P0007 12:05
8659,78976,2008,1,P0288,1231,P0288 12:31
8660,78977,2008,1,P0006,203,P0006 2:03
10077,78978,2008,1,P0148,110,Feces P0148 1:10
