"","litter_id","pre_cort","lac_cort"
"1",3978,98.244,NA
"2",3979,132.876,NA
"3",3981,NA,NA
"4",3982,7.974,NA
"5",3983,NA,NA
"6",3984,NA,NA
"7",3987,76.875,NA
"8",3989,57.062,70.439
"9",3990,NA,99.469
"10",3993,NA,NA
"11",3994,NA,73.559
"12",3995,NA,NA
"13",3996,NA,NA
"14",3997,NA,29.085
"15",3998,NA,NA
"16",3999,NA,NA
"17",4000,NA,NA
"18",4001,NA,41.179
"19",4002,NA,21.577
"20",4003,NA,116.271
"21",4004,NA,NA
"22",4006,NA,NA
"23",4008,NA,NA
"24",4010,80.31,NA
"25",4011,NA,NA
"26",4013,120.738,30.205
"27",4015,NA,NA
"28",4016,NA,101.841
"29",4017,NA,NA
"30",4018,NA,NA
"31",4019,NA,75.794
"32",4020,NA,17.958
"33",4021,NA,NA
"34",4022,NA,NA
"35",4023,NA,60.627
"36",4024,NA,109.972
"37",4025,NA,69.014
"38",4026,NA,NA
"39",4027,NA,NA
"40",4029,NA,NA
"41",4030,NA,NA
"42",4031,NA,NA
"43",4033,NA,70.452
"44",4034,NA,NA
"45",4036,NA,NA
"46",4037,106.052,138.364
"47",4038,NA,34.286
"48",4039,NA,80.657
"49",4041,51.851,NA
"50",4042,NA,35.864
"51",4043,40.376,NA
"52",4044,NA,NA
"53",4045,NA,NA
"54",4046,24.525,15.227
"55",4048,147.471,NA
"56",4049,NA,20.011
"57",4062,NA,NA
"58",4063,30.63,13.091
"59",4067,NA,NA
"60",4068,NA,NA
"61",4069,NA,NA
"62",4073,NA,NA
"63",4076,NA,NA
"64",4077,NA,NA
"65",4078,NA,NA
"66",4079,NA,NA
"67",4081,NA,NA
"68",4085,NA,NA
"69",4086,NA,NA
"70",4088,NA,NA
"71",4089,NA,NA
"72",4090,NA,NA
"73",4091,NA,NA
"74",4092,NA,NA
"75",4093,NA,NA
"76",4094,NA,NA
"77",4096,NA,NA
"78",4097,NA,NA
"79",4098,NA,NA
"80",4099,NA,NA
"81",4100,NA,NA
"82",4102,NA,18.946
"83",4103,NA,NA
"84",4104,NA,NA
"85",4106,NA,NA
"86",4107,NA,NA
"87",4110,NA,NA
"88",4112,NA,NA
"89",4114,NA,NA
"90",4115,NA,NA
"91",4116,NA,NA
"92",4118,65.168,NA
"93",4119,102.613,44.268
"94",4120,102.688,46.437
"95",4121,NA,NA
"96",4122,NA,NA
"97",4123,NA,NA
"98",4125,NA,9.261
"99",4126,139.257,66.563
"100",4127,NA,NA
"101",4128,6.368,NA
"102",4129,NA,NA
"103",4131,NA,NA
"104",4132,353.715,101.352
"105",4133,NA,NA
"106",4134,NA,NA
"107",4135,38.099,NA
"108",4136,146.488,133.544
"109",4137,98.801,35.954
"110",4138,NA,71.659
"111",4139,NA,NA
"112",4140,NA,NA
"113",4141,NA,NA
"114",4142,60.454,NA
"115",4143,NA,NA
"116",4144,27.443,NA
"117",4146,NA,NA
"118",4147,NA,NA
